"cowcode"	"year"	"region"	"income"
990	1950	"Polynesia"	NA
52	1950	"Caribbean"	NA
501	1950	"Eastern Africa"	NA
551	1950	"Eastern Africa"	NA
553	1950	"Eastern Africa"	NA
338	1950	"Southern Europe"	NA
552	1950	"Eastern Africa"	NA
830	1950	"South-Eastern Asia"	NA
781	1950	"Southern Asia"	NA
420	1950	"Western Africa"	NA
110	1950	"South America"	NA
570	1950	"Southern Africa"	NA
571	1950	"Southern Africa"	NA
53	1950	"Caribbean"	NA
572	1950	"Southern Africa"	NA
590	1950	"Eastern Africa"	NA
411	1950	"Middle Africa"	NA
950	1950	"Melanesia"	NA
955	1950	"Polynesia"	NA
771	1950	"Southern Asia"	NA
692	1950	"Western Asia"	NA
694	1950	"Western Asia"	NA
696	1950	"Western Asia"	NA
31	1950	"Caribbean"	NA
55	1950	"Caribbean"	NA
404	1950	"Western Africa"	NA
541	1950	"Eastern Africa"	NA
581	1950	"Eastern Africa"	NA
910	1950	"Melanesia"	NA
403	1950	"Middle Africa"	NA
540	1950	"Middle Africa"	NA
115	1950	"South America"	NA
402	1950	"Western Africa"	NA
591	1950	"Eastern Africa"	NA
522	1950	"Eastern Africa"	NA
54	1950	"Caribbean"	NA
940	1950	"Melanesia"	NA
56	1950	"Caribbean"	NA
57	1950	"Caribbean"	NA
946	1950	"Micronesia"	NA
935	1950	"Melanesia"	NA
58	1950	"Caribbean"	NA
80	1950	"Central America"	NA
60	1950	"Caribbean"	NA
835	1950	"South-Eastern Asia"	NA
983	1950	"Micronesia"	NA
987	1950	"Micronesia"	NA
565	1950	"Southern Africa"	NA
702	1950	"Central Asia"	NA
703	1950	"Central Asia"	NA
704	1950	"Central Asia"	NA
359	1950	"Eastern Europe"	NA
343	1950	"Southern Europe"	NA
371	1950	"Western Asia"	NA
373	1950	"Western Asia"	NA
701	1950	"Central Asia"	NA
705	1950	"Central Asia"	NA
369	1950	"Eastern Europe"	NA
370	1950	"Eastern Europe"	NA
366	1950	"Northern Europe"	NA
367	1950	"Northern Europe"	NA
368	1950	"Northern Europe"	NA
372	1950	"Western Asia"	NA
346	1950	"Southern Europe"	NA
344	1950	"Southern Europe"	NA
349	1950	"Southern Europe"	NA
531	1950	"Eastern Africa"	NA
316	1950	"Eastern Europe"	NA
317	1950	"Eastern Europe"	NA
986	1950	"Micronesia"	NA
41	1951	"Caribbean"	"0"
42	1951	"Caribbean"	"0"
70	1951	"Central America"	"0"
90	1951	"Central America"	"0"
91	1951	"Central America"	"0"
92	1951	"Central America"	"0"
93	1951	"Central America"	"0"
94	1951	"Central America"	"0"
95	1951	"Central America"	"0"
530	1951	"Eastern Africa"	"0"
710	1951	"Eastern Asia"	"0"
712	1951	"Eastern Asia"	"0"
731	1951	"Eastern Asia"	"0"
732	1951	"Eastern Asia"	"0"
740	1951	"Eastern Asia"	"0"
360	1951	"Eastern Europe"	"0"
365	1951	"Eastern Europe"	"0"
265	1951	"No Region"	"0"
315	1951	"No Region"	"0"
345	1951	"No Region"	"0"
713	1951	"No Region"	"0"
651	1951	"Northern Africa"	"0"
100	1951	"South America"	"0"
130	1951	"South America"	"0"
135	1951	"South America"	"0"
140	1951	"South America"	"0"
145	1951	"South America"	"0"
150	1951	"South America"	"0"
155	1951	"South America"	"0"
775	1951	"South-Eastern Asia"	"0"
800	1951	"South-Eastern Asia"	"0"
840	1951	"South-Eastern Asia"	"0"
850	1951	"South-Eastern Asia"	"0"
630	1951	"Southern Asia"	"0"
700	1951	"Southern Asia"	"0"
750	1951	"Southern Asia"	"0"
760	1951	"Southern Asia"	"0"
770	1951	"Southern Asia"	"0"
780	1951	"Southern Asia"	"0"
790	1951	"Southern Asia"	"0"
230	1951	"Southern Europe"	"0"
232	1951	"Southern Europe"	"0"
235	1951	"Southern Europe"	"0"
331	1951	"Southern Europe"	"0"
339	1951	"Southern Europe"	"0"
350	1951	"Southern Europe"	"0"
450	1951	"Western Africa"	"0"
640	1951	"Western Asia"	"0"
645	1951	"Western Asia"	"0"
652	1951	"Western Asia"	"0"
660	1951	"Western Asia"	"0"
663	1951	"Western Asia"	"0"
679	1951	"Western Asia"	"0"
698	1951	"Western Asia"	"0"
221	1951	"Western Europe"	"0"
223	1951	"Western Europe"	"0"
900	1951	"Australia and New Zealand"	"1"
920	1951	"Australia and New Zealand"	"1"
40	1951	"Caribbean"	"1"
290	1951	"Eastern Europe"	"1"
310	1951	"Eastern Europe"	"1"
355	1951	"Eastern Europe"	"1"
260	1951	"No Region"	"1"
2	1951	"Northern America"	"2"
20	1951	"Northern America"	"1"
200	1951	"Northern Europe"	"1"
205	1951	"Northern Europe"	"1"
375	1951	"Northern Europe"	"1"
380	1951	"Northern Europe"	"1"
385	1951	"Northern Europe"	"1"
390	1951	"Northern Europe"	"1"
395	1951	"Northern Europe"	"1"
101	1951	"South America"	"1"
160	1951	"South America"	"1"
165	1951	"South America"	"1"
560	1951	"Southern Africa"	"1"
325	1951	"Southern Europe"	"1"
666	1951	"Western Asia"	"1"
670	1951	"Western Asia"	"1"
210	1951	"Western Europe"	"1"
211	1951	"Western Europe"	"1"
212	1951	"Western Europe"	"1"
220	1951	"Western Europe"	"1"
225	1951	"Western Europe"	"2"
305	1951	"Western Europe"	"1"
620	1951	"Northern Africa"	"0"
811	1951	"South-Eastern Asia"	NA
818	1951	"No Region"	NA
812	1951	"South-Eastern Asia"	NA
600	1951	"Northern Africa"	NA
616	1951	"Northern Africa"	NA
625	1951	"Northern Africa"	NA
820	1951	"South-Eastern Asia"	NA
452	1951	"Western Africa"	NA
438	1951	"Western Africa"	NA
520	1951	"Eastern Africa"	NA
580	1951	"Eastern Africa"	NA
471	1951	"Middle Africa"	NA
481	1951	"Middle Africa"	NA
482	1951	"Middle Africa"	NA
483	1951	"Middle Africa"	NA
484	1951	"Middle Africa"	NA
490	1951	"Middle Africa"	NA
432	1951	"Western Africa"	NA
433	1951	"Western Africa"	NA
434	1951	"Western Africa"	NA
435	1951	"Western Africa"	NA
436	1951	"Western Africa"	NA
437	1951	"Western Africa"	NA
439	1951	"Western Africa"	NA
461	1951	"Western Africa"	NA
475	1951	"Western Africa"	NA
352	1951	"Western Asia"	NA
510	1951	"Eastern Africa"	NA
451	1951	"Western Africa"	NA
690	1951	"Western Asia"	NA
51	1951	"Caribbean"	NA
500	1951	"Eastern Africa"	NA
516	1951	"Eastern Africa"	NA
517	1951	"Eastern Africa"	NA
615	1951	"Northern Africa"	NA
990	1951	"Polynesia"	NA
52	1951	"Caribbean"	NA
501	1951	"Eastern Africa"	NA
551	1951	"Eastern Africa"	NA
553	1951	"Eastern Africa"	NA
338	1951	"Southern Europe"	NA
552	1951	"Eastern Africa"	NA
830	1951	"South-Eastern Asia"	NA
781	1951	"Southern Asia"	NA
420	1951	"Western Africa"	NA
110	1951	"South America"	NA
570	1951	"Southern Africa"	NA
571	1951	"Southern Africa"	NA
53	1951	"Caribbean"	NA
572	1951	"Southern Africa"	NA
590	1951	"Eastern Africa"	NA
411	1951	"Middle Africa"	NA
950	1951	"Melanesia"	NA
955	1951	"Polynesia"	NA
771	1951	"Southern Asia"	NA
692	1951	"Western Asia"	NA
694	1951	"Western Asia"	NA
696	1951	"Western Asia"	NA
31	1951	"Caribbean"	NA
55	1951	"Caribbean"	NA
404	1951	"Western Africa"	NA
541	1951	"Eastern Africa"	NA
581	1951	"Eastern Africa"	NA
910	1951	"Melanesia"	NA
403	1951	"Middle Africa"	NA
540	1951	"Middle Africa"	NA
115	1951	"South America"	NA
402	1951	"Western Africa"	NA
591	1951	"Eastern Africa"	NA
522	1951	"Eastern Africa"	NA
54	1951	"Caribbean"	NA
940	1951	"Melanesia"	NA
56	1951	"Caribbean"	NA
57	1951	"Caribbean"	NA
946	1951	"Micronesia"	NA
935	1951	"Melanesia"	NA
58	1951	"Caribbean"	NA
80	1951	"Central America"	NA
60	1951	"Caribbean"	NA
835	1951	"South-Eastern Asia"	NA
983	1951	"Micronesia"	NA
987	1951	"Micronesia"	NA
565	1951	"Southern Africa"	NA
702	1951	"Central Asia"	NA
703	1951	"Central Asia"	NA
704	1951	"Central Asia"	NA
359	1951	"Eastern Europe"	NA
343	1951	"Southern Europe"	NA
371	1951	"Western Asia"	NA
373	1951	"Western Asia"	NA
701	1951	"Central Asia"	NA
705	1951	"Central Asia"	NA
369	1951	"Eastern Europe"	NA
370	1951	"Eastern Europe"	NA
366	1951	"Northern Europe"	NA
367	1951	"Northern Europe"	NA
368	1951	"Northern Europe"	NA
372	1951	"Western Asia"	NA
346	1951	"Southern Europe"	NA
344	1951	"Southern Europe"	NA
349	1951	"Southern Europe"	NA
531	1951	"Eastern Africa"	NA
316	1951	"Eastern Europe"	NA
317	1951	"Eastern Europe"	NA
986	1951	"Micronesia"	NA
41	1952	"Caribbean"	"0"
42	1952	"Caribbean"	"0"
70	1952	"Central America"	"0"
90	1952	"Central America"	"0"
91	1952	"Central America"	"0"
92	1952	"Central America"	"0"
93	1952	"Central America"	"0"
94	1952	"Central America"	"0"
95	1952	"Central America"	"0"
530	1952	"Eastern Africa"	"0"
710	1952	"Eastern Asia"	"0"
712	1952	"Eastern Asia"	"0"
731	1952	"Eastern Asia"	"0"
732	1952	"Eastern Asia"	"0"
740	1952	"Eastern Asia"	"0"
360	1952	"Eastern Europe"	"0"
365	1952	"Eastern Europe"	"0"
265	1952	"No Region"	"0"
315	1952	"No Region"	"0"
345	1952	"No Region"	"0"
713	1952	"No Region"	"0"
651	1952	"Northern Africa"	"0"
100	1952	"South America"	"0"
130	1952	"South America"	"0"
135	1952	"South America"	"0"
140	1952	"South America"	"0"
145	1952	"South America"	"0"
150	1952	"South America"	"0"
155	1952	"South America"	"0"
775	1952	"South-Eastern Asia"	"0"
800	1952	"South-Eastern Asia"	"0"
840	1952	"South-Eastern Asia"	"0"
850	1952	"South-Eastern Asia"	"0"
630	1952	"Southern Asia"	"0"
700	1952	"Southern Asia"	"0"
750	1952	"Southern Asia"	"0"
760	1952	"Southern Asia"	"0"
770	1952	"Southern Asia"	"0"
780	1952	"Southern Asia"	"0"
790	1952	"Southern Asia"	"0"
230	1952	"Southern Europe"	"0"
232	1952	"Southern Europe"	"0"
235	1952	"Southern Europe"	"0"
331	1952	"Southern Europe"	"0"
339	1952	"Southern Europe"	"0"
350	1952	"Southern Europe"	"0"
450	1952	"Western Africa"	"0"
640	1952	"Western Asia"	"0"
645	1952	"Western Asia"	"0"
652	1952	"Western Asia"	"0"
660	1952	"Western Asia"	"0"
663	1952	"Western Asia"	"0"
679	1952	"Western Asia"	"0"
698	1952	"Western Asia"	"0"
221	1952	"Western Europe"	"0"
223	1952	"Western Europe"	"0"
900	1952	"Australia and New Zealand"	"1"
920	1952	"Australia and New Zealand"	"1"
40	1952	"Caribbean"	"1"
290	1952	"Eastern Europe"	"1"
310	1952	"Eastern Europe"	"1"
355	1952	"Eastern Europe"	"1"
260	1952	"No Region"	"1"
2	1952	"Northern America"	"2"
20	1952	"Northern America"	"1"
200	1952	"Northern Europe"	"1"
205	1952	"Northern Europe"	"1"
375	1952	"Northern Europe"	"1"
380	1952	"Northern Europe"	"1"
385	1952	"Northern Europe"	"1"
390	1952	"Northern Europe"	"1"
395	1952	"Northern Europe"	"1"
101	1952	"South America"	"1"
160	1952	"South America"	"1"
165	1952	"South America"	"1"
560	1952	"Southern Africa"	"1"
325	1952	"Southern Europe"	"1"
666	1952	"Western Asia"	"1"
670	1952	"Western Asia"	"1"
210	1952	"Western Europe"	"1"
211	1952	"Western Europe"	"1"
212	1952	"Western Europe"	"1"
220	1952	"Western Europe"	"1"
225	1952	"Western Europe"	"1"
305	1952	"Western Europe"	"1"
620	1952	"Northern Africa"	"0"
811	1952	"South-Eastern Asia"	NA
818	1952	"No Region"	NA
812	1952	"South-Eastern Asia"	NA
600	1952	"Northern Africa"	NA
616	1952	"Northern Africa"	NA
625	1952	"Northern Africa"	NA
820	1952	"South-Eastern Asia"	NA
452	1952	"Western Africa"	NA
438	1952	"Western Africa"	NA
520	1952	"Eastern Africa"	NA
580	1952	"Eastern Africa"	NA
471	1952	"Middle Africa"	NA
481	1952	"Middle Africa"	NA
482	1952	"Middle Africa"	NA
483	1952	"Middle Africa"	NA
484	1952	"Middle Africa"	NA
490	1952	"Middle Africa"	NA
432	1952	"Western Africa"	NA
433	1952	"Western Africa"	NA
434	1952	"Western Africa"	NA
435	1952	"Western Africa"	NA
436	1952	"Western Africa"	NA
437	1952	"Western Africa"	NA
439	1952	"Western Africa"	NA
461	1952	"Western Africa"	NA
475	1952	"Western Africa"	NA
352	1952	"Western Asia"	NA
510	1952	"Eastern Africa"	NA
451	1952	"Western Africa"	NA
690	1952	"Western Asia"	NA
51	1952	"Caribbean"	NA
500	1952	"Eastern Africa"	NA
516	1952	"Eastern Africa"	NA
517	1952	"Eastern Africa"	NA
615	1952	"Northern Africa"	NA
990	1952	"Polynesia"	NA
52	1952	"Caribbean"	NA
501	1952	"Eastern Africa"	NA
551	1952	"Eastern Africa"	NA
553	1952	"Eastern Africa"	NA
338	1952	"Southern Europe"	NA
552	1952	"Eastern Africa"	NA
830	1952	"South-Eastern Asia"	NA
781	1952	"Southern Asia"	NA
420	1952	"Western Africa"	NA
110	1952	"South America"	NA
570	1952	"Southern Africa"	NA
571	1952	"Southern Africa"	NA
53	1952	"Caribbean"	NA
572	1952	"Southern Africa"	NA
590	1952	"Eastern Africa"	NA
411	1952	"Middle Africa"	NA
950	1952	"Melanesia"	NA
955	1952	"Polynesia"	NA
771	1952	"Southern Asia"	NA
692	1952	"Western Asia"	NA
694	1952	"Western Asia"	NA
696	1952	"Western Asia"	NA
31	1952	"Caribbean"	NA
55	1952	"Caribbean"	NA
404	1952	"Western Africa"	NA
541	1952	"Eastern Africa"	NA
581	1952	"Eastern Africa"	NA
910	1952	"Melanesia"	NA
403	1952	"Middle Africa"	NA
540	1952	"Middle Africa"	NA
115	1952	"South America"	NA
402	1952	"Western Africa"	NA
591	1952	"Eastern Africa"	NA
522	1952	"Eastern Africa"	NA
54	1952	"Caribbean"	NA
940	1952	"Melanesia"	NA
56	1952	"Caribbean"	NA
57	1952	"Caribbean"	NA
946	1952	"Micronesia"	NA
935	1952	"Melanesia"	NA
58	1952	"Caribbean"	NA
80	1952	"Central America"	NA
60	1952	"Caribbean"	NA
835	1952	"South-Eastern Asia"	NA
983	1952	"Micronesia"	NA
987	1952	"Micronesia"	NA
565	1952	"Southern Africa"	NA
702	1952	"Central Asia"	NA
703	1952	"Central Asia"	NA
704	1952	"Central Asia"	NA
359	1952	"Eastern Europe"	NA
343	1952	"Southern Europe"	NA
371	1952	"Western Asia"	NA
373	1952	"Western Asia"	NA
701	1952	"Central Asia"	NA
705	1952	"Central Asia"	NA
369	1952	"Eastern Europe"	NA
370	1952	"Eastern Europe"	NA
366	1952	"Northern Europe"	NA
367	1952	"Northern Europe"	NA
368	1952	"Northern Europe"	NA
372	1952	"Western Asia"	NA
346	1952	"Southern Europe"	NA
344	1952	"Southern Europe"	NA
349	1952	"Southern Europe"	NA
531	1952	"Eastern Africa"	NA
316	1952	"Eastern Europe"	NA
317	1952	"Eastern Europe"	NA
986	1952	"Micronesia"	NA
41	1953	"Caribbean"	"0"
42	1953	"Caribbean"	"0"
70	1953	"Central America"	"0"
90	1953	"Central America"	"0"
91	1953	"Central America"	"0"
92	1953	"Central America"	"0"
93	1953	"Central America"	"0"
94	1953	"Central America"	"0"
95	1953	"Central America"	"0"
530	1953	"Eastern Africa"	"0"
710	1953	"Eastern Asia"	"0"
712	1953	"Eastern Asia"	"0"
731	1953	"Eastern Asia"	"0"
732	1953	"Eastern Asia"	"0"
740	1953	"Eastern Asia"	"0"
360	1953	"Eastern Europe"	"0"
365	1953	"Eastern Europe"	"0"
265	1953	"No Region"	"0"
315	1953	"No Region"	"0"
345	1953	"No Region"	"0"
713	1953	"No Region"	"0"
651	1953	"Northern Africa"	"0"
100	1953	"South America"	"0"
130	1953	"South America"	"0"
135	1953	"South America"	"0"
140	1953	"South America"	"0"
145	1953	"South America"	"0"
150	1953	"South America"	"0"
155	1953	"South America"	"1"
775	1953	"South-Eastern Asia"	"0"
800	1953	"South-Eastern Asia"	"0"
840	1953	"South-Eastern Asia"	"0"
850	1953	"South-Eastern Asia"	"0"
630	1953	"Southern Asia"	"0"
700	1953	"Southern Asia"	"0"
750	1953	"Southern Asia"	"0"
760	1953	"Southern Asia"	"0"
770	1953	"Southern Asia"	"0"
780	1953	"Southern Asia"	"0"
790	1953	"Southern Asia"	"0"
230	1953	"Southern Europe"	"0"
232	1953	"Southern Europe"	"0"
235	1953	"Southern Europe"	"0"
331	1953	"Southern Europe"	"0"
339	1953	"Southern Europe"	"0"
350	1953	"Southern Europe"	"0"
450	1953	"Western Africa"	"0"
640	1953	"Western Asia"	"0"
645	1953	"Western Asia"	"0"
652	1953	"Western Asia"	"0"
660	1953	"Western Asia"	"0"
663	1953	"Western Asia"	"0"
679	1953	"Western Asia"	"0"
698	1953	"Western Asia"	"0"
221	1953	"Western Europe"	"0"
223	1953	"Western Europe"	"0"
900	1953	"Australia and New Zealand"	"1"
920	1953	"Australia and New Zealand"	"1"
40	1953	"Caribbean"	"1"
290	1953	"Eastern Europe"	"1"
310	1953	"Eastern Europe"	"1"
355	1953	"Eastern Europe"	"1"
260	1953	"No Region"	"1"
2	1953	"Northern America"	"2"
20	1953	"Northern America"	"1"
200	1953	"Northern Europe"	"1"
205	1953	"Northern Europe"	"1"
375	1953	"Northern Europe"	"1"
380	1953	"Northern Europe"	"1"
385	1953	"Northern Europe"	"1"
390	1953	"Northern Europe"	"1"
395	1953	"Northern Europe"	"1"
101	1953	"South America"	"1"
160	1953	"South America"	"1"
165	1953	"South America"	"1"
560	1953	"Southern Africa"	"1"
325	1953	"Southern Europe"	"1"
666	1953	"Western Asia"	"1"
670	1953	"Western Asia"	"1"
210	1953	"Western Europe"	"1"
211	1953	"Western Europe"	"1"
212	1953	"Western Europe"	"1"
220	1953	"Western Europe"	"1"
225	1953	"Western Europe"	"2"
305	1953	"Western Europe"	"1"
620	1953	"Northern Africa"	"0"
811	1953	"South-Eastern Asia"	"0"
818	1953	"No Region"	NA
812	1953	"South-Eastern Asia"	NA
600	1953	"Northern Africa"	NA
616	1953	"Northern Africa"	NA
625	1953	"Northern Africa"	NA
820	1953	"South-Eastern Asia"	NA
452	1953	"Western Africa"	NA
438	1953	"Western Africa"	NA
520	1953	"Eastern Africa"	NA
580	1953	"Eastern Africa"	NA
471	1953	"Middle Africa"	NA
481	1953	"Middle Africa"	NA
482	1953	"Middle Africa"	NA
483	1953	"Middle Africa"	NA
484	1953	"Middle Africa"	NA
490	1953	"Middle Africa"	NA
432	1953	"Western Africa"	NA
433	1953	"Western Africa"	NA
434	1953	"Western Africa"	NA
435	1953	"Western Africa"	NA
436	1953	"Western Africa"	NA
437	1953	"Western Africa"	NA
439	1953	"Western Africa"	NA
461	1953	"Western Africa"	NA
475	1953	"Western Africa"	NA
352	1953	"Western Asia"	NA
510	1953	"Eastern Africa"	NA
451	1953	"Western Africa"	NA
690	1953	"Western Asia"	NA
51	1953	"Caribbean"	NA
500	1953	"Eastern Africa"	NA
516	1953	"Eastern Africa"	NA
517	1953	"Eastern Africa"	NA
615	1953	"Northern Africa"	NA
990	1953	"Polynesia"	NA
52	1953	"Caribbean"	NA
501	1953	"Eastern Africa"	NA
551	1953	"Eastern Africa"	NA
553	1953	"Eastern Africa"	NA
338	1953	"Southern Europe"	NA
552	1953	"Eastern Africa"	NA
830	1953	"South-Eastern Asia"	NA
781	1953	"Southern Asia"	NA
420	1953	"Western Africa"	NA
110	1953	"South America"	NA
570	1953	"Southern Africa"	NA
571	1953	"Southern Africa"	NA
53	1953	"Caribbean"	NA
572	1953	"Southern Africa"	NA
590	1953	"Eastern Africa"	NA
411	1953	"Middle Africa"	NA
950	1953	"Melanesia"	NA
955	1953	"Polynesia"	NA
771	1953	"Southern Asia"	NA
692	1953	"Western Asia"	NA
694	1953	"Western Asia"	NA
696	1953	"Western Asia"	NA
31	1953	"Caribbean"	NA
55	1953	"Caribbean"	NA
404	1953	"Western Africa"	NA
541	1953	"Eastern Africa"	NA
581	1953	"Eastern Africa"	NA
910	1953	"Melanesia"	NA
403	1953	"Middle Africa"	NA
540	1953	"Middle Africa"	NA
115	1953	"South America"	NA
402	1953	"Western Africa"	NA
591	1953	"Eastern Africa"	NA
522	1953	"Eastern Africa"	NA
54	1953	"Caribbean"	NA
940	1953	"Melanesia"	NA
56	1953	"Caribbean"	NA
57	1953	"Caribbean"	NA
946	1953	"Micronesia"	NA
935	1953	"Melanesia"	NA
58	1953	"Caribbean"	NA
80	1953	"Central America"	NA
60	1953	"Caribbean"	NA
835	1953	"South-Eastern Asia"	NA
983	1953	"Micronesia"	NA
987	1953	"Micronesia"	NA
565	1953	"Southern Africa"	NA
702	1953	"Central Asia"	NA
703	1953	"Central Asia"	NA
704	1953	"Central Asia"	NA
359	1953	"Eastern Europe"	NA
343	1953	"Southern Europe"	NA
371	1953	"Western Asia"	NA
373	1953	"Western Asia"	NA
701	1953	"Central Asia"	NA
705	1953	"Central Asia"	NA
369	1953	"Eastern Europe"	NA
370	1953	"Eastern Europe"	NA
366	1953	"Northern Europe"	NA
367	1953	"Northern Europe"	NA
368	1953	"Northern Europe"	NA
372	1953	"Western Asia"	NA
346	1953	"Southern Europe"	NA
344	1953	"Southern Europe"	NA
349	1953	"Southern Europe"	NA
531	1953	"Eastern Africa"	NA
316	1953	"Eastern Europe"	NA
317	1953	"Eastern Europe"	NA
986	1953	"Micronesia"	NA
41	1954	"Caribbean"	"0"
42	1954	"Caribbean"	"0"
70	1954	"Central America"	"0"
90	1954	"Central America"	"0"
91	1954	"Central America"	"0"
92	1954	"Central America"	"0"
93	1954	"Central America"	"0"
94	1954	"Central America"	"0"
95	1954	"Central America"	"0"
530	1954	"Eastern Africa"	"0"
710	1954	"Eastern Asia"	"0"
712	1954	"Eastern Asia"	"0"
731	1954	"Eastern Asia"	"0"
732	1954	"Eastern Asia"	"0"
740	1954	"Eastern Asia"	"0"
360	1954	"Eastern Europe"	"0"
365	1954	"Eastern Europe"	"0"
265	1954	"No Region"	"0"
315	1954	"No Region"	"0"
345	1954	"No Region"	"0"
713	1954	"No Region"	"0"
651	1954	"Northern Africa"	"0"
100	1954	"South America"	"0"
130	1954	"South America"	"0"
135	1954	"South America"	"0"
140	1954	"South America"	"0"
145	1954	"South America"	"0"
150	1954	"South America"	"0"
155	1954	"South America"	"0"
775	1954	"South-Eastern Asia"	"0"
800	1954	"South-Eastern Asia"	"0"
840	1954	"South-Eastern Asia"	"0"
850	1954	"South-Eastern Asia"	"0"
630	1954	"Southern Asia"	"0"
700	1954	"Southern Asia"	"0"
750	1954	"Southern Asia"	"0"
760	1954	"Southern Asia"	"0"
770	1954	"Southern Asia"	"0"
780	1954	"Southern Asia"	"0"
790	1954	"Southern Asia"	"0"
230	1954	"Southern Europe"	"1"
232	1954	"Southern Europe"	"0"
235	1954	"Southern Europe"	"0"
331	1954	"Southern Europe"	"0"
339	1954	"Southern Europe"	"0"
350	1954	"Southern Europe"	"0"
450	1954	"Western Africa"	"0"
640	1954	"Western Asia"	"0"
645	1954	"Western Asia"	"1"
652	1954	"Western Asia"	"0"
660	1954	"Western Asia"	"0"
663	1954	"Western Asia"	"0"
679	1954	"Western Asia"	"0"
698	1954	"Western Asia"	"0"
221	1954	"Western Europe"	"0"
223	1954	"Western Europe"	"0"
900	1954	"Australia and New Zealand"	"1"
920	1954	"Australia and New Zealand"	"1"
40	1954	"Caribbean"	"1"
